state,ags,place,population
MV,130715157019,Brunn,1052
NI,031595402037,Wollbrandshausen,665
BY,094725416127,"Creußen, St",4845
SH,010575755003,Barsbek,565
NI,032575406024,Messenkamp,704
HE,064400024024,Wölfersheim,9424
SN,145230310310,"Pausa-Mühltroff, Stadt",4751
RP,072325006318,Wallersheim,747
RP,073395001062,Waldalgesheim,3952
BW,083260052052,"St. Georgen im Schwarzwald, Stadt",12265
RP,071415009079,Lierschied,476
RP,072325008034,Eßlingen,115
MV,130745458073,Schlagsdorf,1231
BW,081365005062,Schechingen,2218
RP,073395007025,Hahnheim,1458
SN,147305311310,"Torgau, Stadt",20096
HE,065350012012,Lautertal (Vogelsberg),2182
TH,160765006068,Schwarzbach (Landkreis Greiz),214
BW,083275001027,Irndorf,694
RP,072315009004,Bausendorf,1416
BW,081275002104,Stimpfach,3033
BY,093750190190,"Regenstauf, M",15623
RP,072335004242,Uersfeld,666
BY,095760126126,"Heideck, St",4616
BB,120685805052,Breddin,889
RP,071435002215,Dreifelden,274
BW,081265002045,"Krautheim, Stadt",4662
BW,083175001116,Sasbach,5286
BY,094710165165,Oberhaid (Landkreis Bamberg),4602
RP,071345005040,Hettenrodt,670
BW,083175011127,Seelbach (Landkreis Ortenaukreis),4850
BY,095715538229,"Wolframs-Eschenbach, St",3156
RP,071415009066,Kamp-Bornhofen,1531
RP,072315006019,Dhronecken,119
RP,073405001029,Ludwigswinkel,768
NW,053820032032,"Meckenheim, Stadt",24594
RP,073315002018,Eich,3795
BW,084355003067,Deggenhausertal,4402
BY,091900148148,"Schongau, St",12318
BW,082255005074,Obrigheim,5395
NI,033510004004,"Bergen, Stadt",12943
BY,096710119119,Geiselbach,2070
BW,082260076076,Sandhausen,15350
TH,160745053109,Weißenborn (Landkreis Saale-Holzland-Kreis),1143
SN,146265502440,Quitzdorf am See,1220
BY,091880117117,Andechs,3780
RP,071415007502,Diethardt,231
MV,130755554054,"Jarmen, Stadt",2874
BB,120725204053,"Dahme/Mark, Stadt",4929
RP,073315001020,Eppelsheim,1173
RP,071335010060,Löllbach,195
SH,010550033033,"Oldenburg in Holstein, Stadt",9718
SH,010560005005,Bönningstedt,4525
SH,010585853086,Jevenstedt,3350
SH,010535358078,Kulpin,210
SH,010535313056,Hornbek,226
BY,091835151134,Oberneukirchen,852
HE,065340004004,"Biedenkopf, Stadt",12930
RP,073395007024,Guntersblum,3803
BY,097745730143,"Ichenhausen, St",9076
MV,130765658169,Toddin,880
NI,033605404018,Rosche,2013
MV,130720029029,Dummerstorf,7399
BY,094790166166,"Weißenstadt, St",2987
TH,160695002008,Dingsleben,234
SH,010565690020,Haseldorf,1838
MV,130735355062,Papenhagen,528
HE,066320013013,Nentershausen (Landkreis Hersfeld-Rotenburg),2533
RP,073365008090,Rutsweiler an der Lauter,355
BW,084375006005,Beuron,673
BY,092720129129,Jandelsbrunn,3233
SH,010535373071,Kollow,622
RP,073365008100,Unterjeckenbach,79
BW,084365005082,"Weingarten, Stadt",24640
RP,071345005041,Hintertiefenbach,327
BY,091775124131,Neuching,2726
MV,130735354067,"Prerow, Ostseebad",1290
BW,083360084084,Steinen (Landkreis Lörrach),10422
BY,093730146146,Mühlhausen (Landkreis Neumarkt i.d.OPf.),5228
NI,033545406004,"Dannenberg (Elbe), Stadt",7887
BY,091790126126,Gröbenzell,19168
SH,010605005056,Mönkloh,249
MV,130765665107,Pampow,3013
RP,071335009202,Kellenbach,246
SH,010615179018,Brokdorf,993
SN,145215130510,"Scheibenberg, Stadt",1983
BY,092750137137,"Obernzell, M",3628
NI,034530008008,Garrel,14703
BY,096720140140,Oerlenbach,4961
BY,096725608142,Ramsthal,1111
SH,010515178014,Büsumer Deichhausen,343
MV,130735358099,Wendorf,867
RP,071415011039,Ergeshausen,138
SH,010560041041,"Quickborn, Stadt",22372
BY,094725415156,Kirchenpingarten,1262
BY,097750134134,Nersingen,9386
BY,097775748121,"Buchloe, St",13521
BY,091820114114,Fischbachau,5498
NI,034530011011,"Löningen, Stadt",14282
BW,083175012075,Meißenheim,4135
BY,095755519146,"Markt Nordheim, M",1121
MV,130755560104,Papendorf (Landkreis Vorpommern-Greifswald),196
BW,081275009076,"Schwäbisch Hall, Stadt",41247
BY,091800116116,Farchant,3583
BY,091765115165,Walting,2297
NI,031530019019,"Langelsheim, Stadt",14779
BW,084265003071,Maselheim,4576
BY,096725608155,"Sulzthal, M",865
